id,vin,name,make,model,modelYear,engineModel,engineManufacturer,bodyCabType,location,grossVehicleWeightRating
67aa21b68e23d045be89e40f,5VCACDLE6GH221661,1600,AUTOCAR,Xpeditor,2016,ISL-GAS,Cummins-Westport,,3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21b78e23d045be89e437,5VCACDLE4GH221674,1613,AUTOCAR,Xpeditor,2016,ISL-GAS,Cummins-Westport,,3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21ba8e23d045be89e522,5VCHC6MF47H204780,1288,AUTOCAR,WXLL,2007,ISL HPCR,Cummins,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21ba8e23d045be89e52d,3BPDLK0X2JF161583,1665,PETERBILT,520,2018,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21bb8e23d045be89e56f,3BPDLK0X2LF108904,1701,PETERBILT,520,2020,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21bb8e23d045be89e5bd,3BPDLK0X3MF110307,1713,PETERBILT,520,2021,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21be8e23d045be89e6ee,5VCDC6KF18H206618,1309,AUTOCAR,WX,2008,ISC EGR/DPF,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21be8e23d045be89e8b0,5VCACDLE5GH221649,1588,AUTOCAR,Xpeditor,2016,ISL-GAS,Cummins-Westport,,3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21bf8e23d045be89e923,3BPDL20X9HF174244,1624,PETERBILT,520,2017,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
67aa21c08e23d045be89eb19,3BPDL20X5KF106238,3283,PETERBILT,520,2019,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
