alertId,fmi,spn,controller,faultCount,triggeredAlert,protocol,severity
683e26384a605495f9aa0dd3,16,110,0,77,True,J1939,Medium Severity
683e26384a605495f9aa0dd3,3,939,11,114,False,J1939,
683ee219a3036b78a300a655,31,1322,0,10,True,J1939,Unknown Severity
683ee219a3036b78a300a655,5,520432,71,1,False,J1939,
683ee219a3036b78a300a655,5,520433,71,1,False,J1939,
683ee219a3036b78a300a655,12,520752,138,126,False,J1939,
683f263b56702e8b9d7bba0f,31,1322,0,29,True,J1939,Unknown Severity
683f263b56702e8b9d7bba0f,9,904,0,20,False,J1939,
683ee5073b15e1fca9667ed2,31,1322,0,12,True,J1939,Unknown Severity
683e0c26a76bb0de67f626f3,31,1322,0,28,True,J1939,Unknown Severity
683e0c26a76bb0de67f626f3,5,520432,71,2,False,J1939,
683e0c26a76bb0de67f626f3,5,520433,71,2,False,J1939,
683e0c26a76bb0de67f626f3,12,520648,138,126,False,J1939,
683e0c26a76bb0de67f626f3,12,520649,138,126,False,J1939,
683e0c26a76bb0de67f626f3,12,520657,138,126,False,J1939,
683e0c26a76bb0de67f626f3,12,520680,138,126,False,J1939,
683e0c26a76bb0de67f626f3,12,520768,138,126,False,J1939,
683e0c26a76bb0de67f626f3,12,520770,138,126,False,J1939,
683e0c26a76bb0de67f626f3,12,520771,138,126,False,J1939,
683e0c26a76bb0de67f626f3,31,521159,138,126,False,J1939,
683e0c26a76bb0de67f626f3,9,639,145,1,False,J1939,
683e0c26a76bb0de67f626f3,9,904,0,30,False,J1939,
683e0c26a76bb0de67f626f3,9,639,144,1,False,J1939,
683efc1856702e8b9d7bb995,3,96,49,126,False,J1939,
683efc1856702e8b9d7bb995,3,829,49,126,False,J1939,
683efc1856702e8b9d7bb995,31,1327,0,126,True,J1939,Unknown Severity
683efc1856702e8b9d7bb995,10,1761,49,126,False,J1939,
683efc1856702e8b9d7bb995,10,5245,49,126,False,J1939,
683f3094a3036b78a300a777,11,3226,0,5,True,J1939,Unknown Severity
683f3094a3036b78a300a777,1,5396,0,1,False,J1939,
683f3094a3036b78a300a777,11,2791,0,1,False,J1939,
683f3094a3036b78a300a777,11,3821,0,1,False,J1939,
683f3094a3036b78a300a777,31,1322,0,1,False,J1939,
683f3094a3036b78a300a777,20,3216,0,1,False,J1939,
683f18d7b3156575645c2aaa,0,101,0,32,True,J1939,High Severity
683e186c2576220b40ee19d7,2,108,0,1,False,J1939,
683e186c2576220b40ee19d7,4,108,0,3,False,J1939,
683e186c2576220b40ee19d7,2,411,0,6,False,J1939,
683e186c2576220b40ee19d7,3,1172,0,2,False,J1939,
683e186c2576220b40ee19d7,31,1569,0,21,True,J1939,
683f18d756702e8b9d7bb9e1,2,108,0,1,False,J1939,
683f18d756702e8b9d7bb9e1,4,108,0,3,False,J1939,
683f18d756702e8b9d7bb9e1,2,411,0,6,False,J1939,
683f18d756702e8b9d7bb9e1,3,1172,0,2,False,J1939,
683f18d756702e8b9d7bb9e1,31,1569,0,21,True,J1939,
683f290c56702e8b9d7bba19,16,175,0,5,True,J1939,Medium Severity
683e295f59027115279cfab0,3,97,0,1,False,J1939,
683e295f59027115279cfab0,10,102,0,5,False,J1939,
683e295f59027115279cfab0,14,611,11,127,False,J1939,
683e295f59027115279cfab0,7,641,0,5,False,J1939,
683e295f59027115279cfab0,13,641,0,25,False,J1939,
683e295f59027115279cfab0,14,794,11,127,False,J1939,
683e295f59027115279cfab0,31,1569,0,126,True,J1939,
683e295f59027115279cfab0,31,2003,3,127,False,J1939,
683e295f59027115279cfab0,1,3359,3,127,False,J1939,
683e295f59027115279cfab0,31,3359,3,127,False,J1939,
683eef441231edf27d74c113,3,97,0,1,False,J1939,
683eef441231edf27d74c113,10,102,0,5,False,J1939,
683eef441231edf27d74c113,14,611,11,127,False,J1939,
683eef441231edf27d74c113,13,641,0,25,False,J1939,
683eef441231edf27d74c113,14,794,11,127,False,J1939,
683eef441231edf27d74c113,31,2003,3,127,False,J1939,
683eef441231edf27d74c113,1,3359,3,127,False,J1939,
683eef441231edf27d74c113,31,3359,3,127,False,J1939,
683eef441231edf27d74c113,31,1569,0,126,True,J1939,
683eef441231edf27d74c113,7,641,0,5,False,J1939,
683f0e994d688894fd3c5425,3,97,0,1,False,J1939,
683f0e994d688894fd3c5425,10,102,0,5,False,J1939,
683f0e994d688894fd3c5425,14,611,11,127,False,J1939,
683f0e994d688894fd3c5425,7,641,0,6,True,J1939,Low Severity
683f0e994d688894fd3c5425,14,794,11,127,False,J1939,
683f0e994d688894fd3c5425,31,1569,0,126,False,J1939,
683f0e994d688894fd3c5425,1,3359,3,127,False,J1939,
683f0e994d688894fd3c5425,31,3359,3,127,False,J1939,
683f0e994d688894fd3c5425,31,2003,3,127,False,J1939,
683f0e994d688894fd3c5425,13,641,0,25,False,J1939,
683f425f1231edf27d74c1fd,3,97,0,1,False,J1939,
683f425f1231edf27d74c1fd,10,102,0,5,False,J1939,
683f425f1231edf27d74c1fd,14,611,11,127,False,J1939,
683f425f1231edf27d74c1fd,7,641,0,6,False,J1939,
683f425f1231edf27d74c1fd,13,641,0,26,True,J1939,Low Severity
683f425f1231edf27d74c1fd,14,794,11,127,False,J1939,
683f425f1231edf27d74c1fd,31,1569,0,126,False,J1939,
683f425f1231edf27d74c1fd,1,3359,3,127,False,J1939,
683f425f1231edf27d74c1fd,31,3359,3,127,False,J1939,
683f425f1231edf27d74c1fd,31,2003,3,127,False,J1939,
683f425f1231edf27d74c1fe,3,97,0,1,False,J1939,
683f425f1231edf27d74c1fe,10,102,0,5,False,J1939,
683f425f1231edf27d74c1fe,14,611,11,127,False,J1939,
683f425f1231edf27d74c1fe,7,641,0,6,False,J1939,
683f425f1231edf27d74c1fe,13,641,0,26,False,J1939,
683f425f1231edf27d74c1fe,14,794,11,127,False,J1939,
683f425f1231edf27d74c1fe,31,1569,0,126,True,J1939,
683f425f1231edf27d74c1fe,1,3359,3,127,False,J1939,
683f425f1231edf27d74c1fe,31,3359,3,127,False,J1939,
683f425f1231edf27d74c1fe,31,2003,3,127,False,J1939,
683ef85b3b15e1fca9667f1e,3,171,49,126,False,J1939,
683ef85b3b15e1fca9667f1e,3,647,0,126,True,J1939,Medium Severity
683e346ba76bb0de67f62745,16,175,0,57,True,J1939,Medium Severity
683f425f1231edf27d74c201,16,175,0,58,True,J1939,Medium Severity
683ee23a3b15e1fca9667ec4,5,3216,0,1,False,J1939,
683ee23a3b15e1fca9667ec4,13,3226,0,9,True,J1939,Low Severity
683ee23a3b15e1fca9667ec4,5,4354,61,1,False,J1939,
683ee23a3b15e1fca9667ec4,7,5396,0,1,False,J1939,
683ee23a3b15e1fca9667ec4,7,1127,0,2,False,J1939,
683ee23a3b15e1fca9667ec4,5,655,0,5,False,J1939,
683ebc6e9d1ffa3b9bf40c8a,9,904,0,23,False,J1939,
